,YM_x,JOIN_KEY_x,BTH_YR,GENDER,SCTR_CD,COM_KEY,LN_CD_1,LN_CD_2,LN_YM,LN_AMT,CD_OPN_CD_1,CD_OPN_CD_2,CD_OPN_YM
0,201703,000056F95A2FBFC8F3999E8FFB9A69679866AB59DF3BD7A79650B8BE4A32A8FD,1980,1,1,792272B9C1ED6AF594D1C56A781C40709B7C3BEBBF3867515BEEA4F2947ED5B9,31,100,201212,25000,81,1,201606
1,201703,0000B31F01D4EF332CE61EB85A090E5EC0E757C496D27CCC26A3441D7C8FE01F,1989,2,1,9ABAC1D2DB7A8C77A7A72FA1C3740A77FCD63137C583D962CD48590C49CF7A84,31,220,201002,87000,81,1,200808
2,201703,0000C59AEC1DF7FBE40B3EB8BB731522A07A3FA268DAF0D19B2406ADCFDF865C,1949,1,5,C88DC60AF425CC965EB7012EA341691BF53C8228E52067F6950D14AFE233C2E1,37,0,201606,5100,81,1,200408
3,201703,0000C59AEC1DF7FBE40B3EB8BB731522A07A3FA268DAF0D19B2406ADCFDF865C,1949,1,5,C88DC60AF425CC965EB7012EA341691BF53C8228E52067F6950D14AFE233C2E1,37,0,201606,5100,83,1,201303
4,201703,0000C59AEC1DF7FBE40B3EB8BB731522A07A3FA268DAF0D19B2406ADCFDF865C,1949,1,5,C88DC60AF425CC965EB7012EA341691BF53C8228E52067F6950D14AFE233C2E1,37,0,201411,1500,81,1,200408
5,201703,0000C59AEC1DF7FBE40B3EB8BB731522A07A3FA268DAF0D19B2406ADCFDF865C,1949,1,5,C88DC60AF425CC965EB7012EA341691BF53C8228E52067F6950D14AFE233C2E1,37,0,201411,1500,83,1,201303
6,201703,0000F736EED7D27148F84D40C824178D895F47A9F90203DBDFBA1B04893BF3D3,1977,1,5,1117BE2E2632588E8D3FABD9AB5095F9A334BBCAEFA8C9DAB3C5FA6C326B7FCA,41,0,201703,200,81,1,200109
7,201703,0000F736EED7D27148F84D40C824178D895F47A9F90203DBDFBA1B04893BF3D3,1977,1,1,25908A4CC7EE760FF3A51313618C6AB24593B15F573097B210D16249367005B7,31,240,201606,26000,81,1,201503
8,201703,0000F736EED7D27148F84D40C824178D895F47A9F90203DBDFBA1B04893BF3D3,1977,1,1,25908A4CC7EE760FF3A51313618C6AB24593B15F573097B210D16249367005B7,31,100,201309,12000,81,1,201503
9,201703,0000F736EED7D27148F84D40C824178D895F47A9F90203DBDFBA1B04893BF3D3,1977,1,1,29D1960A731133DE72BC8A192278D0B937E212BAA5303945CADBEBDA112E2E42,31,220,201507,55000,81,1,201009
10,201703,00012082C8BAEA14547C689B65C7063638F1AB425458ACC90045534DD729D5F7,1944,1,3,4E993735ABDA5E4BF2D1E0AE914D411CBC22B277F388EDBBBB9FBC2722087AFC,31,270,201307,30000,81,1,201611
11,201703,000133A8D385302CCEEB9BB936A32ADCE3AB979B028C687890D9A6D2483EE25A,1975,2,5,0924E6311E2599FA96A52A84F582C48E3E74450885264ABF296537A645C45E65,41,0,201305,3100,81,1,199512
12,201703,000133A8D385302CCEEB9BB936A32ADCE3AB979B028C687890D9A6D2483EE25A,1975,2,5,0924E6311E2599FA96A52A84F582C48E3E74450885264ABF296537A645C45E65,41,0,201702,2600,81,1,199512
13,201703,000135868B4B642A9DDE0EEE54C7E3904BA368A706E2743CEAA6E4FA4C6EBC17,1952,1,3,C03CE3A4C9BF9E714142FF32B3F0E6E3A4AA4A355D4936B56D01944566ADD9C7,31,100,200506,20000,81,2,201504
14,201703,00013CA1AB1F193D81F399DB1F6FEF3C033FFC9E6174D9459FF805EECF6EC82E,1947,1,5,10C083620AFE55DFFAC7BAF57BD281567FFB3565EE4C9A40C868AE25745DD87F,37,0,201610,3700,81,1,200711
15,201703,00013CA1AB1F193D81F399DB1F6FEF3C033FFC9E6174D9459FF805EECF6EC82E,1947,1,5,AF341E8214A5F2F5E1538B200338B9C5280449BC4C7A7931A534A7C551D80FE9,37,0,201507,3500,81,1,200312
16,201703,00015083AE07BCC7E3E4F22DCFC8C3334C972FA2860FD1B47A648B306038B48E,1958,1,3,F23CE8394A2CD7416F7549D2A0DFF2967F11E2D70A1B29D6E08D93F58ED78B6E,31,100,201307,70000,81,1,200008
17,201703,00015083AE07BCC7E3E4F22DCFC8C3334C972FA2860FD1B47A648B306038B48E,1958,1,3,F23CE8394A2CD7416F7549D2A0DFF2967F11E2D70A1B29D6E08D93F58ED78B6E,31,100,200612,26000,81,1,200008
18,201703,00015083AE07BCC7E3E4F22DCFC8C3334C972FA2860FD1B47A648B306038B48E,1958,1,3,F23CE8394A2CD7416F7549D2A0DFF2967F11E2D70A1B29D6E08D93F58ED78B6E,31,230,200403,30000,81,1,200008
19,201703,00015083AE07BCC7E3E4F22DCFC8C3334C972FA2860FD1B47A648B306038B48E,1958,1,3,F23CE8394A2CD7416F7549D2A0DFF2967F11E2D70A1B29D6E08D93F58ED78B6E,31,220,201605,40000,81,1,200008
20,201703,0001603A015A8AF3C3B51BE6321EA53077FD950EFB69DEAFC86C86D23941BDD9,1960,2,1,646B0D378211A43D9FD9402F32F79D2CDF4B9CF7D293A0FA267016006D3FEB1A,31,220,201409,220000,81,2,201307
21,201703,0001603A015A8AF3C3B51BE6321EA53077FD950EFB69DEAFC86C86D23941BDD9,1960,2,5,C0328CFDA99B472F0165F2693E65200AF290A44B8FAC355B12F030066064507F,37,0,201611,13000,81,1,199512
22,201703,0001603A015A8AF3C3B51BE6321EA53077FD950EFB69DEAFC86C86D23941BDD9,1960,2,5,C0328CFDA99B472F0165F2693E65200AF290A44B8FAC355B12F030066064507F,37,0,201611,13000,81,2,201406
23,201703,0001872D6C6B9EFB1CF853778CF4FFDD47DB4F8DA12C7F6F2A7667518759CF8A,1981,1,5,E863222F028B17F3BBDF043705BE34B4592A0736E32A6B25649BE6925725E727,41,0,201607,140,81,1,200606
24,201703,0001BEF5E31440B70015394CFAA5DB2EAAA97168807BDA935F0D124E07F9E9D1,1983,2,1,B2B567BAFED0F264867F068901FB98475A237D6C075E31FE4BD42C5D8EE830B8,41,0,201609,1300,81,1,200806
25,201703,0001BEF5E31440B70015394CFAA5DB2EAAA97168807BDA935F0D124E07F9E9D1,1983,2,5,BD318EA15C082B6B6B894286E1B16603AF1A7D7D32A9AF907086730EE1CF78B7,41,0,201110,2600,81,1,201104
26,201703,0001BEF5E31440B70015394CFAA5DB2EAAA97168807BDA935F0D124E07F9E9D1,1983,2,5,D24A394487F09088E39B81AFDB35439D6CBEFB5DA1706D839C27D3E6218921E7,41,0,201606,280,81,1,199807
27,201703,0002231D14CD88AE77BB77ABC27AAC59857EFC5F0266E5DDD3A776B5F4A91EC0,1983,2,1,879535063CEC022C0976D09DDEBF196C37CB293C654D22B698C467EB31956DC4,37,0,201412,2100,81,1,201112
28,201703,00026561738A5107E6A8588C4A1DB907BABE6CE610831EC387B7278A17FDC5C1,1987,2,5,7B85A5F810E597BB51789915FC371BACBFD9C944D4973312BF4E39E959598F93,37,0,201610,3700,81,1,201509
29,201703,000269A5EEA7D7D5276F605C60EC1E39454EC6E021FDA0227AAC7A3785043236,1960,2,5,D6243D50928A12ADAF7042AA34E4113B1663DD7579DB646A7AEB84E6950BFB92,37,0,201606,3000,81,1,200909
30,201703,00031C4BC8F73A5CD645A925AB0878F3F2CC119A707E0F8ABA7F607F242B8A24,1967,1,1,668B52B4B2B08FA3ABB99FDA19EF1F9FE0E5F0BCBCB47570AD2D767D4E5F3A79,31,100,200803,56000,81,1,201004
31,201703,00031C4BC8F73A5CD645A925AB0878F3F2CC119A707E0F8ABA7F607F242B8A24,1967,1,1,668B52B4B2B08FA3ABB99FDA19EF1F9FE0E5F0BCBCB47570AD2D767D4E5F3A79,31,100,201605,29000,81,1,201004
32,201703,00031FDD12ACA07EC421994F2ECD1D591B02EA81524247C83532ECB44CCEA505,1958,2,1,80B2B31A7C15F11B3FE8647C58FB338105E741777138BB512DE2617A7F8FA945,31,220,200005,38000,81,1,201004
33,201703,000357F069D0F94D85F51F45F27489678740157324B235685772B8DA9C9A0999,1977,2,5,61DBA1ED5FAB51E2211119BAF6900200D99AE029488185337398BD4AABA840AB,41,0,201609,2000,81,1,201308
34,201703,000357F069D0F94D85F51F45F27489678740157324B235685772B8DA9C9A0999,1977,2,5,61DBA1ED5FAB51E2211119BAF6900200D99AE029488185337398BD4AABA840AB,41,0,201609,2000,81,2,201512
35,201703,000357F069D0F94D85F51F45F27489678740157324B235685772B8DA9C9A0999,1977,2,5,B7B305C4D71582AA46EEBCF1B5AB0A91E569D434E779FC1D304506C591ECA0F7,31,590,201410,160,81,1,200603
36,201703,000362B54F4DD4F8C209E9A101DF902DBB272F3853BD05292B38404D89D47B53,1980,1,5,20A3FA144768CEC67DF46A7B558A2EEFA76FD45ECA80C0D50821F0C2E132FF4E,37,0,201507,320,81,1,200106
37,201703,000362B54F4DD4F8C209E9A101DF902DBB272F3853BD05292B38404D89D47B53,1980,1,5,20A3FA144768CEC67DF46A7B558A2EEFA76FD45ECA80C0D50821F0C2E132FF4E,41,0,201702,100,81,1,200106
38,201703,000362B54F4DD4F8C209E9A101DF902DBB272F3853BD05292B38404D89D47B53,1980,1,3,4D893DF882AE4546EC1DE5F6FF76294DE418DB0093062317E342AC21AF1856D0,31,100,201012,20000,81,1,200510
39,201703,000362B54F4DD4F8C209E9A101DF902DBB272F3853BD05292B38404D89D47B53,1980,1,3,4D893DF882AE4546EC1DE5F6FF76294DE418DB0093062317E342AC21AF1856D0,31,100,201012,20000,81,2,201509
40,201703,000404698FE7EFFA903684C061740EE47C2BC09F527C06487F9D113980D0012E,1977,1,5,B0BB0380243DBBA9E4607BFFF4E8CC2C0B7A9C0AC0E8E59ADAF5E4D2C748D4DE,41,0,201607,1300,81,1,200908
41,201703,00042DAA5AAA2A6260B6A3E9F856129599EB5B058DFBF4B3CFD726F5CCD86CF7,1980,2,1,6BC802E963C39502B9D955FE7B6883ED2CD61788CDC9CC65B9D084A6125B2DA9,31,220,201512,79000,81,1,201312
42,201703,00042E127872698401B6DD3FD53C257AECF9F1626BA623BB39BD0983C06EF96A,1970,2,1,5B80A039A0A2F38B7D420CCA3E68F4E48C4C2F800154F3DD80FEF98D125154C4,37,0,201103,190,81,1,199707
43,201703,0004ED0A8BAD7C41BBCBA93AC8A61D931235C5F5EBE074D964642129467637C8,1981,2,5,D0903E70CFCE3AC9B719DBF9E9A3C37F7E764BD26FA09F35F9678DC45D2F550D,41,0,201507,240,81,1,200806
44,201703,0004EF0DEA470DCAAEE905336944EB25297FB15B7D0225B2FF4A5398729E3137,1986,2,1,8EA513C305093A0A03A9591B17AA47880AF7C989D56DEE3CD32CE60D89A8CDCE,31,100,201610,5700,81,1,201503
45,201703,0004EF0DEA470DCAAEE905336944EB25297FB15B7D0225B2FF4A5398729E3137,1986,2,1,8EA513C305093A0A03A9591B17AA47880AF7C989D56DEE3CD32CE60D89A8CDCE,31,100,201703,12000,81,1,201503
46,201703,0004EF0DEA470DCAAEE905336944EB25297FB15B7D0225B2FF4A5398729E3137,1986,2,5,F47835F76BCCCB41DF10EFC3F5DDF6AFB5038C1AE1C60C524B0330A7B0E78BCA,41,0,201612,250,81,1,201107
47,201703,0005305CB96B07B49554E76DB3D91312D7BB5F8EDB81BC444CB200FB7E647012,1984,2,5,67A8E1EECDB69C02D1D6329A459D9B2B8CB357778CC3424C2B23ADE59B8B51CC,37,0,201504,1600,81,1,200706
48,201703,0005704911EDCA4AB54B7A1A62E96E95F9DA9AAE703224FEC0EB715B4AE6CC14,1984,1,5,FB83C15E535CEE0F7C20410C6CF6624333C45AA677061CAF2DC1D9CC25BC744B,31,100,201403,7000,81,1,201612
49,201703,000585C17AB60E95F2FB4A147ED5EA2FE66D0C82C305EAEDC0817F3F82D4763C,1980,2,5,1B4CA1141002F9FBB45A8B7A8B3958A061A129B60259495752B4E3572A2BAAF5,41,0,201703,70,81,1,200011
50,201703,000585C17AB60E95F2FB4A147ED5EA2FE66D0C82C305EAEDC0817F3F82D4763C,1980,2,5,1B4CA1141002F9FBB45A8B7A8B3958A061A129B60259495752B4E3572A2BAAF5,37,0,201510,6700,81,1,200011
51,201703,000585C17AB60E95F2FB4A147ED5EA2FE66D0C82C305EAEDC0817F3F82D4763C,1980,2,1,651F3767E0A092314B204E9ED5F9AECA344A97D59158B8D78B7E829AB5FD854B,41,0,201703,1600,81,1,200501
52,201703,000585C17AB60E95F2FB4A147ED5EA2FE66D0C82C305EAEDC0817F3F82D4763C,1980,2,1,651F3767E0A092314B204E9ED5F9AECA344A97D59158B8D78B7E829AB5FD854B,37,0,201611,1200,81,1,200501
53,201703,000585C17AB60E95F2FB4A147ED5EA2FE66D0C82C305EAEDC0817F3F82D4763C,1980,2,1,651F3767E0A092314B204E9ED5F9AECA344A97D59158B8D78B7E829AB5FD854B,41,0,201504,2100,81,1,200501
54,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,41,0,201701,570,81,1,200807
55,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,41,0,201701,570,83,1,201309
56,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,41,0,201701,570,81,2,200801
57,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,41,0,201611,1800,81,1,200807
58,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,41,0,201611,1800,83,1,201309
59,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,41,0,201611,1800,81,2,200801
60,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,37,0,201509,3500,81,1,200807
61,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,37,0,201509,3500,83,1,201309
62,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,37,0,201509,3500,81,2,200801
63,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,37,0,201612,8300,81,1,200807
64,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,37,0,201612,8300,83,1,201309
65,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,C1EAFB8E28A0D2938917121B6CA1A4C4B7D27848C249387A1EDB7C826668AB01,37,0,201612,8300,81,2,200801
66,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,CF584B9046D9C050E54B5C4037DA0B001BDDDCDDB2368C970322F1AE1596937C,41,0,201506,2200,81,1,201010
67,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,CF584B9046D9C050E54B5C4037DA0B001BDDDCDDB2368C970322F1AE1596937C,37,0,201612,12000,81,1,201010
68,201703,0005ABA436C527B0ADF114939CC06732AA862C5B1888AB05246EB333E6B0AA08,1962,1,5,CF584B9046D9C050E54B5C4037DA0B001BDDDCDDB2368C970322F1AE1596937C,37,0,201611,2600,81,1,201010
69,201703,0005B2A358A065FD3B6A81AC44607E4A564D52D63B564E8EBDE38BD1D4CAFED9,1980,1,1,BC23E4832C85712B9F3B4ABC34E401B90BB957E098AE867165274DF76291AC6C,31,100,201506,20000,81,1,201612
70,201703,0005CBC3DA0D7471F34089C65A0CC37E670FE2F158B279959D867ACE60AD7016,1956,1,5,B2EC5E0CDBCC8F5C2C3D2106A4A21876C8938EE2EA8D2A8620F07F4962B3310F,37,0,201211,14000,81,1,199601
71,201703,0005E9661B750C9B3634A8C08F273DEB252C77608BDA409C0CB3FF1A96E45856,1974,1,5,1D4D5AB363BF1BC4603F485B7EFBF3A1E4712E8CC586E9E1084890B277B61608,41,0,201702,1200,81,1,201104
72,201703,0005E9661B750C9B3634A8C08F273DEB252C77608BDA409C0CB3FF1A96E45856,1974,1,5,1D4D5AB363BF1BC4603F485B7EFBF3A1E4712E8CC586E9E1084890B277B61608,37,0,201510,7300,81,1,201104
73,201703,0005E9661B750C9B3634A8C08F273DEB252C77608BDA409C0CB3FF1A96E45856,1974,1,5,5B52039F312C35D91B25FCFFDEA321417E57DF1C936DF7A3F38EB642C3E10E2E,41,0,201702,6700,81,1,200003
74,201703,0005E9661B750C9B3634A8C08F273DEB252C77608BDA409C0CB3FF1A96E45856,1974,1,5,5B52039F312C35D91B25FCFFDEA321417E57DF1C936DF7A3F38EB642C3E10E2E,37,0,201507,670,81,1,200003
75,201703,0005F329751B8F38E89BC024B1CDC8DBEA911810D2917ED3B5794A9C5F24FDEC,1982,2,5,D6DE7B8AA4BFB9E57D57321229F021E3D4C6F7DD7261F871FFC3F99FE549D6B2,41,0,201702,250,81,1,201510
76,201703,0005F329751B8F38E89BC024B1CDC8DBEA911810D2917ED3B5794A9C5F24FDEC,1982,2,5,D6DE7B8AA4BFB9E57D57321229F021E3D4C6F7DD7261F871FFC3F99FE549D6B2,41,0,201612,600,81,1,201510
77,201703,000620CF0B9F38518402DA08D7BBBE147807D148F9CEE06BE86265937AD4D8C7,1985,1,5,1E6FE6000A7853263930F8C0298371008F470FDEECA3E2CC2C771E50A71D6C6E,37,0,201511,5900,81,1,200006
78,201703,0006301CDC95A54FE687F7F9519D713843C97F19EEA2D349F5C531DA08FE9C51,1972,1,5,8E2F2E20DF763E4ED2FF8382DFF83A722D2510597F471525205E96AC5EDA4DA0,37,0,201510,3000,81,1,200706
79,201703,0006322285BD60C23B635ED011F72884247487536D0D0E237ACCBFCA06ED7574,1985,1,5,73CE818C9C55A78F3A5B6194AE4AFAF5DAE25122D0AEBCDCEFBC37701FE13D25,37,0,201609,7100,81,1,200908
80,201703,0006322285BD60C23B635ED011F72884247487536D0D0E237ACCBFCA06ED7574,1985,1,1,FF1A0E5AB71BAF926E7E940FB6325322DE4BCCB4C9DD93B129E137D7FC573027,41,0,201603,1300,81,2,201612
81,201703,0006322285BD60C23B635ED011F72884247487536D0D0E237ACCBFCA06ED7574,1985,1,1,FF1A0E5AB71BAF926E7E940FB6325322DE4BCCB4C9DD93B129E137D7FC573027,41,0,201603,1300,81,1,200502
82,201703,0006322285BD60C23B635ED011F72884247487536D0D0E237ACCBFCA06ED7574,1985,1,1,FF1A0E5AB71BAF926E7E940FB6325322DE4BCCB4C9DD93B129E137D7FC573027,41,0,201610,20,81,2,201612
83,201703,0006322285BD60C23B635ED011F72884247487536D0D0E237ACCBFCA06ED7574,1985,1,1,FF1A0E5AB71BAF926E7E940FB6325322DE4BCCB4C9DD93B129E137D7FC573027,41,0,201610,20,81,1,200502
84,201703,00067F5D4D3A8AB9AD120CB9CC9FCD0020F9F4F03AF5CFBC418D1688C0DCB724,1978,1,5,63516588E77E3389A4DCB774E53E78AC5381689E08679F0C54880FA2DA4B723D,37,0,201410,1200,81,1,201308
85,201703,00067F5D4D3A8AB9AD120CB9CC9FCD0020F9F4F03AF5CFBC418D1688C0DCB724,1978,1,5,63516588E77E3389A4DCB774E53E78AC5381689E08679F0C54880FA2DA4B723D,37,0,201509,7800,81,1,201308
86,201703,0006BF5F7347C460E001120ECB01BAFA8B9CB606CE63B1B27C8C5721F20C377E,1955,2,1,D00873DA246F047A3401FAB8ABB9A63ACEC3E51E1D178295E549A8B473541523,31,220,201506,9100,81,1,199606
87,201703,00070A0F8DC1143288B01F6C7387CCF9FA31F35362AE811A9A09367813237EFE,1950,2,5,79FD3BB17762AA547C09B98CB48EC8E6593950DE5458B44DAF2ADC64C071BDB6,41,0,201611,2000,81,1,199805
88,201703,00070A0F8DC1143288B01F6C7387CCF9FA31F35362AE811A9A09367813237EFE,1950,2,5,79FD3BB17762AA547C09B98CB48EC8E6593950DE5458B44DAF2ADC64C071BDB6,37,0,201610,6200,81,1,199805
89,201703,00070D78F516763409CADD8298FDAFF583127C8A5447898B105AF81A84BBCD6C,1977,2,1,D31922A6F421943FB0A5267E28BAC7BDA5A24BA6385E5494A8BC55CC54DC73FD,31,200,201610,1900,81,2,201401
90,201703,00074A6514E22205E3CDE701C6A928D478FF9C5F3D3AA87D3E3A5FDBFEC30587,1936,1,5,183BA5AFD7113DF584786509ACD1209894FA9C9C93088DAADE1A20AB478763EF,37,0,201702,6600,81,1,200612
91,201703,00077947956F665F9142CC0387AFD05579E01B509D5BFE35DC05DE8418B8C604,1994,2,5,70A932D5338AB16CC5F478FDFC08F06A94770CC35C83CBA04F887A7BF6C864D0,41,0,201612,600,81,1,200105
92,201703,00077947956F665F9142CC0387AFD05579E01B509D5BFE35DC05DE8418B8C604,1994,2,5,70A932D5338AB16CC5F478FDFC08F06A94770CC35C83CBA04F887A7BF6C864D0,41,0,201603,940,81,1,200105
93,201703,000779C6F6FFED8BB099BD6D3031C9F60ACD75037179881AB805B01C8D4ACC36,1968,1,1,A96D64A4CCE7D7B9EE9CBE2426B943BAAAEABB651C4FB056B2450082B6C8744D,31,240,201504,280000,81,1,201510
94,201703,0007B1BBB9EFE86DBBA30AD8145708270B4D8C0C27AF1AD8C69A6A4789198EB2,1959,1,3,FD7A25ABEC79ACC6725912D84E38E08D36FED0CD99BBCF47E1D84C8F08090F23,31,210,201411,40000,81,1,200506
95,201703,0007B1BBB9EFE86DBBA30AD8145708270B4D8C0C27AF1AD8C69A6A4789198EB2,1959,1,3,FD7A25ABEC79ACC6725912D84E38E08D36FED0CD99BBCF47E1D84C8F08090F23,31,230,201610,650000,81,1,200506
96,201703,0007BB9B8656A245C0B4BA3CD2ACF625FF178AD68EBBF5B74F290893F33150A9,1969,2,1,1315663F4A7A206D1017EAC202B5EF2FAE4C406D87A7E26027C907AFDAF5F643,31,100,201211,15000,81,1,200106
97,201703,0007BB9B8656A245C0B4BA3CD2ACF625FF178AD68EBBF5B74F290893F33150A9,1969,2,1,1315663F4A7A206D1017EAC202B5EF2FAE4C406D87A7E26027C907AFDAF5F643,31,100,200907,10000,81,1,200106
98,201703,0007BB9B8656A245C0B4BA3CD2ACF625FF178AD68EBBF5B74F290893F33150A9,1969,2,1,1315663F4A7A206D1017EAC202B5EF2FAE4C406D87A7E26027C907AFDAF5F643,31,100,201510,6000,81,1,200106
99,201703,0007D529F8A8B6B2707F237ADDD0340AF664A4A8EEDEA7CC7E63FC00EDCAE83D,1979,1,5,2C6D6FAC370DD2A09A0B2993FAA4525322B1B5A52A2A6B1FF4CD35E99393B58B,41,0,201607,2700,81,1,200112
100,201703,0007E702ED248D7D26CF1B089D07B515D9E01D347B714CAA99D8EBA77017C304,1969,1,1,578EA0837FE85730B1709D4A89376B752680315CD986C63C2D4B4936163BE1B9,31,220,201508,290000,81,1,201405
101,201703,0007E702ED248D7D26CF1B089D07B515D9E01D347B714CAA99D8EBA77017C304,1969,1,1,578EA0837FE85730B1709D4A89376B752680315CD986C63C2D4B4936163BE1B9,31,100,201206,20000,81,1,201405
102,201703,0007E702ED248D7D26CF1B089D07B515D9E01D347B714CAA99D8EBA77017C304,1969,1,1,578EA0837FE85730B1709D4A89376B752680315CD986C63C2D4B4936163BE1B9,31,220,201501,80000,81,1,201405
