,YM_x,JOIN_KEY_x,BTH_YR,GENDER,SCTR_CD,COM_KEY,LN_CD_1,LN_CD_2,LN_YM,LN_AMT,CD_OPN_CD_1,CD_OPN_CD_2,CD_OPN_YM
0,201805,00000A7F7EAB7A89935C2A0D0E237333F6BD25F39A25CAEFC38C99C05FD27413,1967,2,1,A601D2E074C73DB043F1693F87D678B3ED65CA8A2E5599FAF5D6256EB13484DD,31,240,201804,2000,81,1,201606
1,201805,00000A7F7EAB7A89935C2A0D0E237333F6BD25F39A25CAEFC38C99C05FD27413,1967,2,5,EA0B3BCAACEBD268F5ED3F919283EEBB014A5B3B59AD8D2C18A340F2A040D67B,37,0,201804,1700,81,1,201109
2,201805,00000A7F7EAB7A89935C2A0D0E237333F6BD25F39A25CAEFC38C99C05FD27413,1967,2,5,EA0B3BCAACEBD268F5ED3F919283EEBB014A5B3B59AD8D2C18A340F2A040D67B,37,0,201804,1700,81,2,201502
3,201805,0000B31F01D4EF332CE61EB85A090E5EC0E757C496D27CCC26A3441D7C8FE01F,1989,2,1,9ABAC1D2DB7A8C77A7A72FA1C3740A77FCD63137C583D962CD48590C49CF7A84,31,220,201002,87000,81,1,200808
4,201805,0000F736EED7D27148F84D40C824178D895F47A9F90203DBDFBA1B04893BF3D3,1977,1,1,25908A4CC7EE760FF3A51313618C6AB24593B15F573097B210D16249367005B7,31,100,201710,50000,81,1,201503
5,201805,0000F736EED7D27148F84D40C824178D895F47A9F90203DBDFBA1B04893BF3D3,1977,1,1,29D1960A731133DE72BC8A192278D0B937E212BAA5303945CADBEBDA112E2E42,31,220,201507,55000,81,1,201009
6,201805,000109CCF85D825E08E2FA7C4E840EACC54D902C0C049F9B64BC923F21674F2B,1967,1,5,5B31C53AABAB9F62CD54DF4B584948D2D1F78B299E97E722F8937B4663FA0AE2,41,0,201805,900,81,1,200205
7,201805,00012082C8BAEA14547C689B65C7063638F1AB425458ACC90045534DD729D5F7,1944,1,3,4E993735ABDA5E4BF2D1E0AE914D411CBC22B277F388EDBBBB9FBC2722087AFC,31,270,201307,30000,81,1,201611
8,201805,000133A8D385302CCEEB9BB936A32ADCE3AB979B028C687890D9A6D2483EE25A,1975,2,5,0924E6311E2599FA96A52A84F582C48E3E74450885264ABF296537A645C45E65,41,0,201702,2600,81,1,199512
9,201805,000133A8D385302CCEEB9BB936A32ADCE3AB979B028C687890D9A6D2483EE25A,1975,2,5,0924E6311E2599FA96A52A84F582C48E3E74450885264ABF296537A645C45E65,41,0,201305,3100,81,1,199512
10,201805,000133A8D385302CCEEB9BB936A32ADCE3AB979B028C687890D9A6D2483EE25A,1975,2,5,7A4E15C0ED8D8786EFB4AD89B747F8AA83DD52CAB934434FEB5ED80227438664,37,0,201804,2800,81,1,199808
11,201805,000135868B4B642A9DDE0EEE54C7E3904BA368A706E2743CEAA6E4FA4C6EBC17,1952,1,3,C03CE3A4C9BF9E714142FF32B3F0E6E3A4AA4A355D4936B56D01944566ADD9C7,31,100,200506,20000,81,2,201504
12,201805,00015083AE07BCC7E3E4F22DCFC8C3334C972FA2860FD1B47A648B306038B48E,1958,1,3,F23CE8394A2CD7416F7549D2A0DFF2967F11E2D70A1B29D6E08D93F58ED78B6E,31,100,200612,26000,81,1,200008
13,201805,00015083AE07BCC7E3E4F22DCFC8C3334C972FA2860FD1B47A648B306038B48E,1958,1,3,F23CE8394A2CD7416F7549D2A0DFF2967F11E2D70A1B29D6E08D93F58ED78B6E,31,100,201307,70000,81,1,200008
14,201805,0001603A015A8AF3C3B51BE6321EA53077FD950EFB69DEAFC86C86D23941BDD9,1960,2,1,646B0D378211A43D9FD9402F32F79D2CDF4B9CF7D293A0FA267016006D3FEB1A,31,220,201409,220000,81,2,201307
15,201805,0001603A015A8AF3C3B51BE6321EA53077FD950EFB69DEAFC86C86D23941BDD9,1960,2,5,C0328CFDA99B472F0165F2693E65200AF290A44B8FAC355B12F030066064507F,41,0,201802,5400,81,1,199512
16,201805,0001603A015A8AF3C3B51BE6321EA53077FD950EFB69DEAFC86C86D23941BDD9,1960,2,5,C0328CFDA99B472F0165F2693E65200AF290A44B8FAC355B12F030066064507F,37,0,201704,8600,81,1,199512
17,201805,0002231D14CD88AE77BB77ABC27AAC59857EFC5F0266E5DDD3A776B5F4A91EC0,1983,2,1,879535063CEC022C0976D09DDEBF196C37CB293C654D22B698C467EB31956DC4,37,0,201412,2100,81,1,201112
18,201805,00026561738A5107E6A8588C4A1DB907BABE6CE610831EC387B7278A17FDC5C1,1987,2,5,7B85A5F810E597BB51789915FC371BACBFD9C944D4973312BF4E39E959598F93,37,0,201610,3700,81,1,201509
19,201805,00026561738A5107E6A8588C4A1DB907BABE6CE610831EC387B7278A17FDC5C1,1987,2,5,7B85A5F810E597BB51789915FC371BACBFD9C944D4973312BF4E39E959598F93,37,0,201711,8300,81,1,201509
20,201805,000269A5EEA7D7D5276F605C60EC1E39454EC6E021FDA0227AAC7A3785043236,1960,2,3,8B11A47C2EF0AEAD6A916E7342B8AE99CE096D2F41C4461AC9B1E7C7AB0944DF,31,100,201412,10000,81,1,201804
21,201805,0003168257B37041667246252E4106A065392C845D865A0CE446F4661C3696F3,1996,2,5,0007005097CD16A55ED165EA259004D443A5E22CA7B48C5E4EFA603C7C2682A2,37,0,201804,2000,81,1,201505
22,201805,0003168257B37041667246252E4106A065392C845D865A0CE446F4661C3696F3,1996,2,5,0F58D7773150F5A36F83F3531E2B7200B621E4A68E82A67517032062CDCF9A93,37,0,201711,480,81,1,201606
23,201805,0003168257B37041667246252E4106A065392C845D865A0CE446F4661C3696F3,1996,2,5,71F0EEB1E78AA0B703E3F58789B1B9B120EEB68CC1F03D4E0874C46D04ED1DF1,41,0,201712,1400,81,1,201603
